delivery_id,order_id,delivery_time_mins,delivery_status,rider_rating
1,1,37,Delivered,4.6
2,2,73,Delivered,3.1
3,3,80,Delivered,2.7
4,4,73,Delivered,4.9
5,5,65,Delivered,3.2
6,6,50,Delivered,4.7
7,7,50,Delivered,2.5
8,8,13,Delivered,2.6
9,9,66,Delivered,3.7
10,10,39,Cancelled,3.1
11,11,55,Cancelled,4.2
12,12,65,Delivered,3.9
13,13,40,Delivered,2.7
14,14,16,Delivered,2.9
15,15,86,Delivered,3.5
16,16,63,Delivered,3.0
17,17,17,Delayed,4.5
18,18,64,Delivered,3.5
19,19,78,Delivered,2.7
20,20,53,Delivered,3.7
21,21,22,Delivered,2.7
22,22,29,Delivered,2.8
23,23,87,Delivered,3.1
24,24,41,Delivered,4.6
25,25,69,Delivered,4.8
26,26,59,Delivered,4.6
27,27,36,Delivered,3.3
28,28,34,Delayed,3.2
29,29,61,Delivered,3.9
30,30,77,Delayed,4.3
31,31,30,Delivered,5.0
32,32,27,Delivered,2.8
33,33,48,Delivered,2.6
34,34,24,Delivered,4.2
35,35,62,Cancelled,4.6
36,36,47,Cancelled,4.6
37,37,57,Delivered,4.2
38,38,61,Delivered,4.9
39,39,81,Delivered,3.8
40,40,37,Cancelled,4.8
41,41,25,Delivered,4.9
42,42,25,Delivered,4.6
43,43,44,Delivered,3.3
44,44,26,Delivered,3.0
45,45,82,Cancelled,3.9
46,46,61,Delivered,3.6
47,47,21,Delivered,4.7
48,48,57,Delivered,2.8
49,49,31,Delivered,3.1
50,50,58,Delivered,4.4
51,51,61,Delivered,2.7
52,52,88,Delayed,3.3
53,53,10,Delivered,3.5
54,54,75,Delivered,4.1
55,55,73,Delivered,2.9
56,56,17,Delivered,4.7
57,57,34,Delayed,3.6
58,58,75,Delivered,4.8
59,59,82,Delivered,3.7
60,60,82,Delivered,3.2
61,61,86,Delivered,2.9
62,62,79,Delivered,2.5
63,63,88,Cancelled,3.8
64,64,60,Delivered,2.8
65,65,62,Delivered,3.5
66,66,24,Delivered,4.0
67,67,59,Delivered,3.2
68,68,80,Delivered,2.9
69,69,84,Cancelled,4.4
70,70,47,Delivered,4.9
71,71,49,Delivered,2.8
72,72,75,Delivered,2.9
73,73,48,Delivered,4.9
74,74,83,Delivered,2.6
75,75,26,Cancelled,4.9
76,76,16,Delivered,2.5
77,77,48,Delayed,4.7
78,78,77,Delivered,3.3
79,79,44,Delivered,4.8
80,80,60,Delivered,3.3
81,81,56,Delivered,4.1
82,82,45,Delivered,2.7
83,83,73,Delivered,3.1
84,84,22,Delivered,4.4
85,85,27,Delivered,3.8
86,86,30,Delayed,4.8
87,87,74,Delivered,3.6
88,88,17,Cancelled,4.7
89,89,57,Delivered,3.6
90,90,52,Delivered,4.9
91,91,62,Delivered,4.9
92,92,36,Delivered,3.3
93,93,28,Delayed,4.7
94,94,32,Delivered,4.6
95,95,59,Cancelled,3.0
96,96,60,Delayed,4.1
97,97,52,Delivered,2.7
98,98,60,Delayed,4.6
99,99,78,Delivered,2.9
100,100,50,Delayed,2.7
101,101,81,Delivered,3.5
102,102,20,Delivered,3.9
103,103,89,Delayed,4.6
104,104,61,Delivered,4.9
105,105,32,Delivered,3.6
106,106,58,Delivered,2.7
107,107,47,Delivered,4.4
108,108,56,Delivered,3.9
109,109,81,Delivered,3.6
110,110,16,Delivered,3.3
111,111,75,Delivered,3.8
112,112,86,Delivered,3.3
113,113,71,Delivered,4.4
114,114,38,Delivered,3.9
115,115,47,Delivered,4.7
116,116,42,Delayed,3.9
117,117,38,Delivered,3.1
118,118,88,Delivered,4.6
119,119,32,Delayed,3.9
120,120,12,Delivered,3.0
121,121,54,Delivered,4.1
122,122,17,Delivered,3.4
123,123,38,Delayed,4.6
124,124,11,Delivered,3.6
125,125,59,Delivered,4.3
126,126,74,Delivered,2.7
127,127,29,Delivered,3.5
128,128,61,Delivered,5.0
129,129,46,Delivered,4.5
130,130,81,Delivered,2.9
131,131,36,Delivered,3.2
132,132,56,Delivered,3.3
133,133,15,Delivered,4.1
134,134,69,Delivered,4.4
135,135,54,Delayed,4.4
136,136,53,Delivered,3.8
137,137,27,Delivered,4.5
138,138,74,Delayed,3.6
139,139,34,Delivered,2.8
140,140,36,Delivered,3.9
141,141,16,Delivered,4.9
142,142,53,Delivered,4.5
143,143,38,Cancelled,3.9
144,144,53,Delivered,4.1
145,145,45,Delivered,4.8
146,146,28,Delivered,3.6
147,147,15,Delivered,3.3
148,148,34,Delivered,4.9
149,149,40,Delivered,4.7
150,150,18,Delivered,3.3
151,151,83,Delivered,3.7
152,152,46,Delayed,3.5
153,153,36,Delivered,2.9
154,154,22,Delivered,4.9
155,155,50,Delivered,3.5
156,156,75,Delivered,4.7
157,157,33,Delivered,3.0
158,158,53,Delivered,3.9
159,159,69,Delivered,2.6
160,160,18,Delivered,4.4
161,161,11,Delayed,4.0
162,162,65,Delivered,4.1
163,163,39,Delivered,2.6
164,164,31,Delivered,3.0
165,165,84,Delivered,2.7
166,166,22,Delivered,3.2
167,167,80,Delayed,4.1
168,168,25,Delivered,3.9
169,169,54,Delivered,4.0
170,170,74,Delivered,3.9
171,171,20,Delayed,3.2
172,172,79,Delivered,3.1
173,173,29,Delivered,2.8
174,174,72,Delivered,4.6
175,175,21,Delivered,4.0
176,176,71,Delivered,3.0
177,177,51,Delivered,2.9
178,178,78,Delivered,4.7
179,179,67,Delivered,4.4
180,180,14,Delayed,4.1
181,181,36,Delivered,3.5
182,182,37,Cancelled,3.2
183,183,35,Delivered,4.9
184,184,58,Delivered,4.5
185,185,30,Delivered,3.3
186,186,10,Delivered,4.6
187,187,67,Delivered,4.4
188,188,88,Delivered,3.2
189,189,64,Delivered,3.6
190,190,35,Delivered,3.0
191,191,34,Delivered,2.8
192,192,86,Delivered,4.3
193,193,42,Delivered,3.2
194,194,81,Delivered,4.6
195,195,78,Delivered,5.0
196,196,15,Cancelled,2.7
197,197,32,Delayed,3.7
198,198,39,Delivered,4.5
199,199,87,Delivered,4.5
200,200,63,Delivered,4.4
201,201,20,Delivered,3.4
202,202,40,Delivered,3.6
203,203,15,Delivered,4.0
204,204,20,Delivered,4.9
205,205,86,Delivered,3.3
206,206,21,Delivered,4.8
207,207,75,Delivered,3.2
208,208,62,Delivered,5.0
209,209,45,Delivered,4.2
210,210,26,Cancelled,3.7
211,211,37,Delivered,4.0
212,212,31,Delivered,3.2
213,213,16,Delivered,3.2
214,214,24,Delivered,2.8
215,215,20,Delivered,2.8
216,216,33,Delivered,3.4
217,217,76,Delivered,4.4
218,218,39,Cancelled,4.0
219,219,79,Delivered,2.8
220,220,75,Delayed,4.6
221,221,70,Delivered,4.0
222,222,87,Delayed,4.9
223,223,50,Delivered,4.2
224,224,60,Delivered,2.9
225,225,53,Delivered,3.7
226,226,22,Delivered,4.1
227,227,21,Delivered,2.6
228,228,18,Delivered,2.5
229,229,57,Cancelled,2.8
230,230,58,Cancelled,3.1
231,231,62,Delivered,3.6
232,232,65,Delivered,3.7
233,233,49,Delivered,2.8
234,234,33,Delivered,4.2
235,235,81,Delivered,4.0
236,236,42,Delivered,3.2
237,237,32,Delayed,2.5
238,238,86,Delivered,2.7
239,239,63,Delivered,3.5
240,240,62,Delivered,2.9
241,241,58,Delivered,3.4
242,242,87,Delivered,4.1
243,243,87,Delivered,3.9
244,244,89,Delivered,3.1
