order_item_id,order_id,product_id,quantity,selling_price,discount
1,431,983,3,94.02,8.71
2,56,766,2,914.82,1.48
3,577,481,3,457.87,22.66
4,268,144,2,65.26,7.62
5,69,24,2,450.69,14.38
6,728,965,5,281.45,21.94
7,902,425,2,531.3,6.7
8,601,746,2,124.21,13.43
9,449,845,3,358.94,10.17
10,793,175,2,331.85,20.31
11,257,844,4,785.75,15.56
12,672,325,3,109.14,11.48
13,490,869,1,592.88,17.85
14,746,671,3,623.28,24.05
15,643,860,2,327.39,1.15
16,49,348,4,274.5,14.66
17,659,798,3,233.15,7.98
18,316,18,4,715.81,17.67
19,413,44,1,416.8,19.35
20,434,155,1,266.04,17.78
21,2,867,5,793.21,17.72
22,841,922,5,434.18,13.68
23,952,377,3,636.71,13.7
24,145,743,5,290.13,15.08
25,956,883,4,688.65,25.96
26,366,828,5,214.52,15.12
27,420,402,4,531.59,24.93
28,573,225,5,712.55,26.22
29,785,217,5,933.15,2.02
30,561,568,5,372.84,11.85
31,844,31,2,387.03,10.21
32,444,869,2,592.21,17.95
33,916,59,5,749.21,2.73
34,434,892,4,233.3,10.86
35,643,898,3,843.51,6.93
36,555,353,1,417.86,18.94
37,57,935,2,568.37,1.2
38,562,445,5,763.98,5.39
39,964,235,1,118.37,4.38
40,977,107,2,702.25,24.83
41,178,191,3,93.25,21.87
42,293,992,4,369.23,21.43
43,46,530,5,218.24,21.87
44,170,913,3,197.83,4.34
45,271,738,2,350.18,29.04
46,417,679,5,346.76,27.72
47,848,583,1,490.53,21.78
48,139,874,4,268.4,24.0
49,247,566,2,197.52,23.05
50,148,245,4,32.96,6.07
51,230,995,5,118.41,13.11
52,792,862,3,665.4,29.83
53,637,76,4,359.85,17.12
54,704,547,1,553.87,17.76
55,374,267,2,455.95,26.58
56,80,317,1,276.76,9.71
57,606,812,4,45.39,8.95
58,738,121,3,896.98,8.37
59,65,836,3,739.81,8.15
60,88,25,1,534.53,30.0
61,88,432,5,827.8,1.38
62,713,160,5,250.66,5.58
63,726,596,3,902.84,2.88
64,204,114,1,517.53,29.53
65,913,735,1,489.69,1.98
66,382,900,1,718.43,5.71
67,601,502,4,460.78,4.88
68,476,166,5,495.42,27.2
69,573,703,5,158.36,7.84
70,783,175,4,411.43,1.2
71,606,1,2,860.11,9.64
72,819,899,4,715.28,12.88
73,539,741,1,848.53,1.63
74,214,86,4,632.29,16.71
75,74,574,1,287.27,12.02
76,61,320,3,265.54,15.71
77,698,401,1,688.35,2.01
78,543,382,5,131.87,27.71
79,219,718,4,272.39,14.97
80,12,617,1,594.09,9.39
81,814,318,2,426.63,6.24
82,415,803,3,149.96,12.51
83,32,250,2,399.82,2.73
84,160,525,2,279.18,1.74
85,237,675,2,286.2,28.07
86,739,555,3,695.94,17.93
87,181,898,3,640.77,29.3
88,829,952,3,41.37,20.12
89,558,623,3,612.25,13.89
90,341,717,2,457.8,2.68
91,458,896,5,723.86,4.6
92,80,256,5,20.78,26.18
93,647,307,3,338.67,27.21
94,772,950,4,528.65,12.32
95,987,144,1,60.72,14.04
96,820,658,4,234.59,22.01
97,759,391,4,74.27,3.02
98,473,813,4,215.56,2.18
99,671,676,5,73.55,17.92
100,715,169,1,291.95,3.29
101,112,990,4,674.28,18.48
102,980,298,3,353.4,7.89
103,292,233,5,732.18,15.72
104,950,903,3,168.13,26.32
105,822,271,3,107.19,2.16
106,631,60,4,16.73,16.39
107,383,296,3,488.72,7.97
108,17,467,1,384.78,18.99
109,493,235,3,87.35,29.44
110,331,677,4,165.44,26.98
111,926,706,3,268.56,15.11
112,739,234,5,859.64,9.3
113,873,368,5,141.8,19.96
114,486,695,5,334.57,9.14
115,406,845,2,363.45,9.04
116,117,232,5,551.91,8.88
117,555,873,5,276.06,15.23
118,880,491,2,205.69,2.55
119,115,619,5,146.56,15.32
120,795,503,4,602.99,16.49
121,549,890,5,347.83,24.02
122,814,735,5,395.83,20.77
123,625,592,2,508.33,28.73
124,547,746,4,127.71,10.99
125,644,381,3,30.01,22.55
126,336,696,1,538.45,20.88
127,336,428,4,249.77,6.88
128,981,697,3,64.9,20.18
129,922,646,4,39.49,22.74
130,889,732,3,669.44,24.93
131,740,800,3,446.38,6.75
132,147,364,4,636.64,26.11
133,122,202,2,621.35,16.39
134,81,882,4,328.1,14.79
135,685,146,4,656.17,9.38
136,666,836,3,716.81,11.0
137,662,639,1,548.16,5.68
138,375,457,3,576.26,28.66
139,570,135,5,24.61,21.1
140,63,626,4,659.08,21.6
141,504,264,4,542.22,25.62
142,668,64,2,766.0,21.32
143,449,491,3,167.37,20.71
144,428,647,2,372.49,14.34
145,868,41,4,80.69,10.08
146,427,296,3,432.43,18.57
147,421,3,3,338.84,8.42
148,322,913,5,165.62,19.91
149,913,706,5,249.01,21.29
150,680,975,1,713.24,13.76
151,166,110,5,509.15,29.29
152,597,221,3,456.93,27.61
153,957,370,5,161.5,17.46
154,649,368,1,174.13,1.71
155,461,436,4,317.97,8.36
156,459,918,5,99.88,27.35
157,189,4,3,755.29,4.61
158,464,244,4,386.26,8.03
159,912,902,3,23.62,11.67
160,379,166,4,643.85,5.39
161,2,26,3,243.78,17.88
162,618,395,5,736.31,23.35
163,364,474,5,421.95,14.64
164,72,17,1,165.77,13.54
165,427,728,4,282.23,13.85
166,638,92,1,621.82,13.05
167,170,483,2,745.07,1.54
168,205,543,5,855.75,2.93
169,825,205,4,346.18,3.73
170,337,502,1,455.58,5.96
171,999,931,1,725.81,1.7
172,472,400,2,401.32,27.04
173,195,207,1,217.48,22.05
174,670,619,3,146.86,15.15
175,653,146,5,690.74,4.6
176,275,879,1,713.5,14.84
177,7,101,1,665.7,7.56
178,905,880,2,694.79,25.83
179,979,830,3,566.36,22.43
180,566,880,1,861.39,8.05
181,616,241,5,446.53,25.06
182,854,923,5,252.85,19.46
183,850,759,1,451.67,22.05
184,573,163,3,673.08,19.5
185,599,884,5,73.52,8.75
186,770,173,5,281.49,18.97
187,178,502,3,419.81,13.34
188,242,547,3,491.65,27.0
189,203,284,1,639.67,5.85
190,543,359,4,416.08,18.9
191,801,381,2,34.66,10.55
192,462,870,4,653.45,8.24
193,80,905,4,322.68,23.71
194,523,972,5,258.53,3.46
195,417,911,3,616.96,11.51
196,766,533,5,648.36,17.14
197,384,820,2,52.26,24.52
198,391,163,1,821.7,1.73
199,896,609,2,631.23,7.35
200,799,307,5,354.72,23.76
201,688,339,5,243.12,19.87
202,126,55,5,279.87,5.71
203,494,983,5,93.59,9.13
204,47,333,4,187.74,7.03
205,718,127,1,421.45,16.76
206,476,940,4,27.99,8.5
207,949,705,5,403.77,18.41
208,619,243,3,524.07,23.66
209,464,861,4,757.36,11.02
210,787,600,5,225.76,0.72
211,849,848,5,658.59,20.68
212,123,409,1,111.57,16.17
213,474,503,2,651.45,9.78
214,134,727,4,745.99,13.75
215,619,604,4,770.36,4.7
216,817,303,4,353.84,7.15
217,841,464,5,276.29,28.25
218,562,235,1,123.73,0.05
219,849,696,5,629.96,7.43
220,607,38,5,330.85,4.08
221,780,139,3,224.08,10.46
222,23,195,1,938.48,4.31
223,566,527,4,514.15,26.63
224,886,769,2,128.8,19.57
225,766,647,4,418.75,3.71
226,965,1,5,723.92,23.95
227,235,561,1,246.06,27.65
228,996,96,1,892.59,6.36
229,59,713,1,600.35,4.94
230,164,413,3,119.8,25.12
231,771,538,4,364.33,4.37
232,826,855,3,611.13,9.4
233,216,429,2,25.49,14.41
234,183,235,5,117.49,5.09
235,569,349,3,756.01,17.42
236,657,756,3,291.7,24.18
237,935,870,5,559.34,21.45
238,90,481,1,504.15,14.85
239,964,839,5,122.88,14.06
240,311,396,4,587.58,5.83
241,557,351,5,318.91,6.26
242,972,416,1,353.28,12.56
243,257,886,5,167.73,6.58
244,533,916,3,334.34,24.25
245,979,887,2,431.38,28.5
246,533,51,3,636.48,3.79
247,52,81,2,143.07,27.74
248,338,36,5,463.87,22.6
249,171,67,4,288.81,9.14
250,948,641,5,759.38,17.72
251,67,882,1,370.77,3.71
252,625,667,5,64.06,21.06
253,300,757,2,470.28,29.64
254,672,623,3,561.86,20.98
255,778,680,4,247.34,12.66
256,832,481,5,481.2,18.72
257,232,468,5,626.66,13.95
258,975,142,3,534.94,3.7
259,837,356,4,117.36,2.62
260,68,709,5,120.41,22.02
261,506,471,5,23.65,16.13
262,28,621,2,525.18,13.52
263,949,888,2,164.9,1.53
264,628,591,1,453.26,0.04
265,51,902,3,20.61,22.92
266,693,673,4,862.28,8.19
267,260,439,5,162.49,18.66
268,591,531,5,469.74,29.76
269,785,127,1,355.84,29.72
270,620,205,5,301.4,16.18
271,963,29,3,802.08,15.35
272,586,445,1,570.7,29.32
273,687,966,3,62.83,9.39
274,184,719,1,651.0,21.18
275,23,464,5,334.24,13.2
276,786,280,1,64.23,20.98
277,129,151,2,306.52,24.99
278,291,240,4,179.71,17.78
279,832,266,5,460.01,23.03
280,501,694,4,233.46,13.96
281,186,105,5,394.04,24.03
282,479,937,4,767.63,14.75
283,571,433,2,616.42,25.28
284,492,913,4,186.39,9.87
285,513,497,1,612.25,7.38
286,643,440,4,628.92,26.69
287,67,748,5,800.36,15.97
288,805,685,3,551.12,27.87
289,467,158,4,597.37,12.05
290,285,172,4,490.09,22.07
291,601,494,4,781.09,14.17
292,417,970,5,206.96,14.48
293,100,311,4,429.09,2.27
294,189,403,5,162.79,13.53
295,989,669,5,74.96,12.51
296,890,770,3,317.58,17.95
297,858,676,1,88.24,1.53
298,388,659,5,752.67,6.68
299,241,903,2,179.28,21.44
300,782,666,4,810.69,4.67
301,731,463,2,301.61,17.03
302,417,367,4,586.56,5.14
303,918,550,3,843.05,5.31
304,176,643,5,454.74,24.33
305,387,870,1,648.27,8.97
306,471,255,5,94.35,21.28
307,853,208,4,174.61,21.07
308,233,450,1,316.84,21.11
309,663,95,5,543.35,8.23
310,452,860,1,254.68,23.1
311,277,839,4,100.12,29.98
312,229,478,3,509.83,8.54
313,171,683,3,123.47,24.86
314,735,762,5,171.38,26.87
315,213,190,2,583.01,22.87
316,282,711,4,419.52,18.6
317,41,484,5,680.07,15.72
318,122,733,5,273.96,28.66
319,227,536,3,105.68,0.88
320,294,756,1,351.96,8.52
321,600,423,4,69.86,20.31
322,267,836,1,640.8,20.44
323,541,640,4,243.25,16.54
324,759,605,2,639.98,11.21
325,828,812,3,37.08,25.62
326,451,133,2,33.82,24.32
327,449,55,5,284.3,4.22
328,756,989,3,631.01,22.31
329,61,510,5,740.53,18.59
330,502,670,2,938.15,3.86
331,147,541,4,246.65,10.11
332,686,410,5,492.37,19.75
333,945,211,1,273.08,9.49
334,790,666,4,600.33,29.41
335,334,293,4,574.93,7.93
336,881,987,2,200.37,15.39
337,953,734,2,199.42,5.6
338,891,115,3,852.7,1.36
339,142,949,3,83.98,2.22
340,44,670,1,949.28,2.72
341,144,259,4,643.16,14.63
342,865,763,1,160.95,19.19
343,333,122,1,721.48,16.05
344,998,299,2,836.54,9.3
345,497,775,1,818.7,3.48
346,396,381,1,29.53,23.79
347,55,561,5,331.76,2.46
348,307,889,3,915.0,5.54
349,870,841,3,250.59,0.63
350,423,501,4,167.12,3.59
351,417,297,3,68.28,21.6
352,673,362,4,500.1,26.82
353,797,589,5,726.97,26.63
354,325,463,3,286.22,21.26
355,710,438,5,408.76,11.58
356,671,127,3,476.61,5.87
357,80,197,3,512.36,3.02
358,31,221,5,559.94,11.29
359,985,995,1,95.62,29.83
360,112,91,1,418.47,24.41
361,558,411,1,98.44,27.01
362,865,8,1,536.77,19.1
363,717,544,3,219.86,14.96
364,564,468,2,519.28,28.7
365,650,320,5,253.46,19.54
366,472,394,2,177.25,24.63
367,74,269,2,229.95,10.59
368,553,191,4,100.17,16.07
369,479,861,1,722.28,15.14
370,589,675,3,329.58,17.17
371,387,61,1,422.58,1.32
372,699,438,1,353.37,23.56
373,882,264,2,623.28,14.5
374,564,797,4,205.7,7.92
375,930,95,1,513.38,13.3
376,433,553,5,975.02,2.13
377,412,926,5,147.32,18.66
378,467,470,1,599.61,16.09
379,599,661,2,35.91,27.35
380,621,716,2,88.83,11.73
381,992,779,3,185.68,21.35
382,909,514,4,525.33,25.19
383,737,690,2,293.31,13.66
384,994,937,3,774.08,14.03
385,993,194,5,320.46,27.72
386,248,482,5,715.13,9.05
387,581,899,5,728.39,11.29
388,120,336,1,618.86,24.33
389,67,435,4,416.54,15.92
390,573,196,3,78.92,8.39
391,956,855,4,579.29,14.12
392,327,249,1,784.62,18.13
393,920,498,3,710.14,20.33
394,703,212,3,586.05,11.69
395,470,665,2,467.02,1.83
396,493,670,4,879.74,9.85
397,701,466,4,276.1,27.76
398,663,874,2,296.03,16.18
399,286,651,5,856.27,3.27
400,956,221,1,459.71,27.17
401,914,273,4,876.98,0.33
402,608,154,2,171.47,1.53
403,312,249,3,693.41,27.65
404,309,279,2,257.36,2.0
405,775,440,5,693.97,19.11
406,97,948,1,219.67,4.66
407,965,816,5,514.16,17.45
408,113,276,3,219.22,16.78
409,988,514,3,625.18,10.97
410,637,88,3,558.32,6.76
411,456,799,3,646.42,28.99
412,463,923,2,275.62,12.21
413,948,642,3,447.21,24.4
414,132,505,3,175.39,19.62
415,930,590,2,612.62,19.56
416,965,772,3,319.51,15.93
417,929,241,5,476.81,19.98
418,121,653,5,166.22,26.78
419,197,740,4,278.27,25.63
420,806,675,5,282.51,29.0
421,482,236,1,144.44,15.89
422,634,128,1,387.54,1.37
423,794,503,1,530.51,26.53
424,897,200,2,128.93,1.61
425,772,962,5,252.52,8.0
426,39,902,1,23.83,10.88
427,566,543,4,787.78,10.64
428,512,502,2,459.26,5.2
429,474,650,4,646.68,26.79
430,161,492,5,759.98,14.86
431,289,21,3,536.38,9.09
432,200,234,4,830.32,12.4
433,788,714,3,273.71,5.02
434,528,791,2,262.83,27.83
435,917,643,4,545.22,9.28
436,685,416,4,347.54,13.98
437,503,148,2,159.23,18.62
438,248,970,2,194.1,19.79
439,383,29,1,839.75,11.37
440,218,361,5,833.46,3.27
441,87,308,4,541.26,15.12
442,82,883,4,881.15,5.26
443,62,942,2,660.59,17.94
444,799,162,2,424.04,26.93
445,500,869,5,518.53,28.15
446,42,852,2,256.24,28.46
447,12,61,3,348.6,18.6
448,833,125,3,457.33,19.88
449,746,456,3,355.13,8.46
450,841,71,3,892.86,7.72
451,643,838,5,540.55,28.48
452,115,907,4,679.66,23.37
453,218,876,3,355.11,21.77
454,649,466,2,330.31,13.57
455,106,243,3,510.32,25.66
456,691,490,5,138.03,25.98
457,528,761,2,288.13,1.69
458,472,221,3,594.11,5.87
459,754,473,4,504.14,24.58
460,846,959,2,772.28,17.8
461,893,533,2,631.2,19.33
462,387,494,4,853.0,6.27
463,226,899,2,700.42,14.69
464,481,82,3,283.17,26.17
465,754,856,2,861.36,7.83
466,408,879,3,686.28,18.09
467,457,998,4,421.33,22.11
468,653,522,1,764.13,18.73
469,898,923,4,266.64,15.07
470,711,12,3,96.17,19.7
471,624,263,5,344.35,22.74
472,639,657,4,608.66,18.05
473,21,449,5,620.92,29.42
474,659,192,5,272.35,6.83
475,601,762,3,176.06,24.87
476,815,114,3,523.75,28.68
477,918,26,1,266.01,10.39
478,203,783,2,259.13,6.78
479,417,499,4,554.43,5.59
480,416,508,3,195.57,15.19
481,448,545,4,431.22,23.84
482,512,62,5,490.12,7.88
483,85,229,2,562.15,9.01
484,167,815,1,402.7,22.61
485,384,607,4,70.19,2.89
486,468,35,2,161.32,26.87
487,72,705,1,492.28,0.52
488,810,456,4,371.69,4.19
489,997,588,2,534.15,9.36
490,521,891,3,502.09,1.84
491,793,502,4,444.08,8.33
492,473,761,2,221.89,24.29
493,993,595,1,503.68,16.73
494,258,25,2,550.9,27.85
495,275,569,3,120.48,18.31
496,750,32,4,723.93,7.75
497,20,831,4,105.55,18.41
498,490,12,4,95.71,20.09
499,745,319,3,36.44,12.15
500,490,845,1,384.26,3.83
501,733,604,4,577.37,28.57
502,326,1,1,776.42,18.44
503,529,435,2,370.29,25.25
504,892,838,1,686.68,9.14
505,89,136,1,519.25,26.83
506,486,196,4,77.49,10.05
507,708,133,5,35.12,21.41
508,350,985,5,374.13,24.03
509,84,86,3,744.66,1.91
510,387,476,3,570.37,29.44
511,87,807,5,830.98,16.87
512,307,791,2,257.3,29.35
513,850,324,4,784.71,15.49
514,154,180,4,588.2,14.97
515,440,516,2,657.42,20.35
516,740,638,2,126.2,26.03
517,960,175,5,338.53,18.71
518,264,763,3,179.6,9.83
519,977,21,2,551.47,6.53
520,735,997,3,593.03,14.08
521,421,952,1,45.42,12.3
522,493,105,4,394.32,23.98
523,633,578,5,604.64,21.38
524,993,443,4,70.51,25.14
525,411,775,5,657.19,22.52
526,173,49,1,537.03,23.25
527,4,528,4,200.56,14.41
528,854,145,1,447.17,13.12
529,640,340,5,318.27,1.65
530,986,762,2,177.79,24.13
531,992,855,4,602.0,10.75
532,472,354,1,890.64,5.48
533,110,75,4,739.13,13.19
534,867,802,4,594.3,22.35
535,37,929,4,704.28,22.12
536,992,794,3,656.49,28.82
537,583,578,1,608.82,20.84
538,801,637,1,382.14,7.66
539,31,319,4,29.63,28.57
540,951,87,2,310.4,23.42
541,381,553,4,908.43,8.81
542,268,982,3,210.22,6.52
543,11,698,5,189.32,16.34
544,344,866,3,269.17,9.06
545,840,892,2,213.67,18.36
546,544,847,4,29.0,25.2
547,569,778,1,556.66,18.06
548,166,783,4,242.95,12.6
549,700,42,2,86.26,1.56
550,342,93,1,132.57,27.94
551,482,697,3,69.29,14.78
552,19,727,5,690.82,20.13
553,628,507,5,218.81,14.75
554,980,529,4,426.72,29.28
555,184,956,3,150.1,20.61
556,782,265,2,27.31,5.4
557,545,626,5,728.13,13.38
558,10,292,3,180.63,16.48
559,592,969,4,368.29,21.43
560,192,464,1,303.99,21.06
561,320,804,4,405.44,18.51
562,702,560,4,949.63,4.93
563,580,819,3,506.22,0.98
564,475,97,5,51.2,16.84
565,860,887,3,493.51,18.2
566,637,95,1,564.84,4.6
567,427,326,3,636.91,17.19
568,848,74,2,646.66,13.44
569,59,336,4,629.15,23.07
570,436,68,5,226.9,7.69
571,97,758,1,136.16,14.04
572,496,918,4,129.61,5.73
573,787,77,3,296.03,6.58
574,661,208,2,169.13,23.55
575,278,884,3,73.7,8.53
576,265,766,4,872.88,6.0
577,9,221,1,507.36,19.62
578,457,262,5,205.64,24.82
579,795,410,4,429.96,29.92
580,273,331,1,148.05,16.47
581,940,344,4,297.92,19.43
582,813,989,2,703.78,13.35
583,8,771,3,606.48,24.36
584,208,820,5,66.32,4.22
585,914,74,1,580.71,22.27
586,637,637,5,317.81,23.21
587,123,700,5,138.43,15.58
588,33,254,5,830.51,15.03
589,513,959,1,718.31,23.55
590,204,833,1,230.9,21.84
591,518,820,5,51.99,24.91
592,809,747,3,194.54,8.45
593,951,986,4,785.87,6.9
594,517,762,5,196.54,16.13
595,443,332,2,81.44,8.58
596,592,398,5,393.6,7.92
597,786,345,1,271.91,25.85
598,689,584,4,566.32,1.02
599,850,747,2,201.08,5.37
600,833,836,4,613.2,23.87
601,339,668,4,263.47,24.41
602,438,455,2,68.33,26.23
603,445,906,5,307.25,25.85
604,136,115,5,799.15,7.56
605,387,313,5,551.91,15.91
606,25,228,3,666.1,6.51
607,506,834,5,175.56,7.61
608,325,858,2,545.78,11.86
609,695,245,3,31.79,9.4
610,680,818,5,366.62,29.45
611,979,526,3,164.35,20.65
612,338,528,2,208.88,10.86
613,690,950,5,423.76,29.72
614,885,427,1,493.28,29.01
615,95,42,2,83.74,4.44
616,545,465,4,79.06,9.48
617,623,622,4,152.62,22.04
618,146,278,2,258.67,9.36
619,893,836,4,755.27,6.23
620,953,19,2,235.1,20.8
621,231,66,1,226.12,28.92
622,784,167,2,69.37,2.02
623,848,585,5,507.94,19.65
624,495,403,5,137.8,26.8
625,38,912,3,242.57,15.24
626,425,822,4,521.23,6.95
627,647,409,4,102.01,23.35
628,846,112,2,720.39,21.91
629,747,274,4,574.94,22.72
630,437,407,5,637.19,0.25
631,831,373,1,102.65,24.08
632,368,597,2,812.06,12.73
633,345,651,4,865.41,2.24
634,160,39,5,638.36,25.59
635,550,105,3,514.17,0.88
636,662,324,4,913.94,1.58
637,912,793,1,479.22,3.46
638,820,959,1,718.16,23.56
639,541,992,4,418.35,10.98
640,144,414,4,648.14,7.17
641,588,429,5,29.66,0.4
642,657,635,4,411.17,24.59
643,741,730,3,784.12,7.02
