order_id,customer_id,order_date,delivery_partner,payment_mode,city
1,975,2024-11-23,Instamart,Card,Hyderabad
2,548,2024-02-27,Zepto,UPI,Kolkata
3,621,2024-01-13,Blinkit,UPI,Mumbai
4,567,2025-01-14,Zepto,Card,Delhi
5,704,2024-05-20,Instamart,UPI,Kolkata
6,219,2024-05-05,Instamart,UPI,Bangalore
7,185,2024-04-24,Blinkit,Card,Delhi
8,69,2024-03-12,Instamart,Wallet,Bangalore
9,829,2025-01-12,Blinkit,Wallet,Bangalore
10,130,2024-02-22,Zepto,UPI,Bangalore
11,567,2024-12-12,Blinkit,UPI,Kolkata
12,890,2025-01-14,Blinkit,Card,Hyderabad
13,609,2025-04-01,Zepto,Card,Delhi
14,848,2024-10-06,Blinkit,Wallet,Mumbai
15,599,2024-02-14,Blinkit,Cash,Hyderabad
16,806,2024-10-29,Instamart,UPI,Kolkata
17,631,2024-08-04,Zepto,Cash,Bangalore
18,720,2024-01-17,Blinkit,Cash,Mumbai
19,334,2024-01-16,Zepto,Card,Delhi
20,925,2024-02-17,Zepto,UPI,Hyderabad
21,154,2024-04-21,Blinkit,UPI,Hyderabad
22,547,2024-04-29,Instamart,Card,Mumbai
23,79,2024-09-15,Zepto,Cash,Kolkata
24,579,2024-11-04,Blinkit,Card,Delhi
25,855,2024-01-14,Zepto,Wallet,Mumbai
26,413,2024-10-14,Instamart,UPI,Bangalore
27,546,2024-04-11,Instamart,Wallet,Delhi
28,609,2025-01-01,Instamart,Card,Hyderabad
29,169,2024-11-28,Blinkit,UPI,Mumbai
30,681,2024-12-25,Blinkit,Wallet,Hyderabad
31,663,2024-10-06,Instamart,Wallet,Hyderabad
32,583,2024-08-02,Blinkit,Cash,Hyderabad
33,515,2024-04-22,Instamart,UPI,Kolkata
34,314,2024-08-17,Blinkit,Wallet,Hyderabad
35,32,2024-10-28,Instamart,Wallet,Bangalore
36,287,2024-05-22,Zepto,Cash,Bangalore
37,594,2025-02-18,Instamart,Wallet,Delhi
38,43,2025-03-21,Instamart,Wallet,Hyderabad
39,903,2024-01-04,Blinkit,Wallet,Hyderabad
40,617,2025-01-23,Blinkit,Cash,Mumbai
41,1,2025-02-16,Blinkit,Wallet,Kolkata
42,573,2024-03-22,Blinkit,Wallet,Delhi
43,270,2024-12-23,Blinkit,UPI,Hyderabad
44,180,2024-08-04,Blinkit,UPI,Mumbai
45,736,2024-06-23,Zepto,Cash,Kolkata
46,518,2024-05-22,Instamart,Card,Delhi
47,103,2024-03-20,Instamart,UPI,Delhi
48,10,2024-04-20,Instamart,Cash,Hyderabad
49,583,2025-05-05,Zepto,Wallet,Delhi
50,90,2025-01-25,Instamart,Wallet,Mumbai
51,226,2024-06-21,Zepto,Cash,Delhi
52,670,2024-02-22,Zepto,Wallet,Bangalore
53,740,2024-02-17,Zepto,Wallet,Mumbai
54,917,2024-07-13,Instamart,Card,Kolkata
55,126,2024-02-19,Zepto,Wallet,Kolkata
56,956,2024-07-02,Instamart,UPI,Hyderabad
57,209,2025-03-09,Instamart,Wallet,Hyderabad
58,97,2024-06-25,Blinkit,Cash,Bangalore
59,74,2024-11-05,Blinkit,Card,Kolkata
60,627,2024-05-15,Zepto,Wallet,Kolkata
61,191,2025-02-17,Zepto,Cash,Kolkata
62,682,2024-01-23,Instamart,UPI,Kolkata
63,819,2025-01-08,Zepto,Wallet,Delhi
64,960,2024-08-23,Zepto,Card,Mumbai
65,716,2024-10-01,Instamart,Wallet,Mumbai
66,56,2024-03-04,Zepto,Cash,Bangalore
67,720,2025-05-13,Zepto,Card,Delhi
68,553,2025-04-17,Instamart,Wallet,Kolkata
69,32,2024-07-12,Instamart,UPI,Kolkata
70,527,2024-02-10,Blinkit,Card,Hyderabad
71,574,2024-10-09,Instamart,UPI,Hyderabad
72,667,2024-05-30,Blinkit,Cash,Bangalore
73,284,2025-02-28,Zepto,Wallet,Kolkata
74,721,2024-11-17,Instamart,UPI,Bangalore
75,832,2024-11-12,Instamart,Cash,Delhi
76,494,2025-03-29,Instamart,Wallet,Mumbai
77,187,2025-03-17,Zepto,Cash,Kolkata
78,498,2024-07-04,Blinkit,UPI,Delhi
79,442,2024-10-22,Zepto,Cash,Kolkata
80,130,2024-04-08,Zepto,Card,Hyderabad
81,639,2024-12-26,Instamart,Wallet,Bangalore
82,292,2024-02-05,Blinkit,Cash,Hyderabad
83,114,2024-01-24,Zepto,UPI,Mumbai
84,199,2024-12-04,Instamart,Wallet,Hyderabad
85,13,2024-04-26,Zepto,Card,Kolkata
86,271,2025-01-30,Zepto,Wallet,Hyderabad
87,601,2024-05-28,Instamart,Card,Kolkata
88,215,2024-02-10,Instamart,Wallet,Mumbai
89,444,2025-03-13,Blinkit,Cash,Hyderabad
90,790,2024-04-29,Zepto,Cash,Bangalore
91,512,2025-03-19,Instamart,UPI,Bangalore
92,447,2024-02-21,Instamart,Card,Bangalore
93,986,2024-07-13,Blinkit,UPI,Hyderabad
94,993,2024-05-22,Blinkit,Cash,Hyderabad
95,715,2024-08-20,Instamart,Card,Hyderabad
96,74,2024-11-21,Blinkit,UPI,Kolkata
97,537,2025-03-03,Instamart,UPI,Mumbai
98,101,2024-07-05,Zepto,UPI,Bangalore
99,176,2024-03-24,Blinkit,UPI,Kolkata
100,427,2024-07-08,Zepto,UPI,Bangalore
101,117,2024-06-30,Zepto,Card,Kolkata
102,166,2024-04-17,Zepto,UPI,Hyderabad
103,41,2024-12-09,Instamart,Card,Bangalore
104,429,2024-05-16,Zepto,UPI,Hyderabad
105,344,2024-12-25,Zepto,Cash,Bangalore
106,424,2025-04-24,Zepto,Cash,Delhi
107,366,2024-12-15,Instamart,UPI,Kolkata
108,120,2024-11-27,Zepto,Wallet,Delhi
109,609,2024-02-06,Zepto,Cash,Kolkata
110,657,2024-11-07,Blinkit,Card,Mumbai
111,728,2024-11-21,Instamart,UPI,Bangalore
112,229,2024-03-28,Zepto,Card,Mumbai
113,825,2024-09-30,Blinkit,Wallet,Mumbai
114,130,2025-01-08,Instamart,UPI,Kolkata
115,352,2024-05-05,Instamart,Cash,Delhi
116,889,2024-03-24,Instamart,Card,Hyderabad
117,318,2024-08-24,Instamart,Cash,Kolkata
118,984,2024-07-13,Instamart,Cash,Hyderabad
119,649,2024-05-18,Instamart,UPI,Mumbai
