product_id,product_name,category,brand,mrp,cost_price
1,Maiores Product,Fruits,Hayer-Sodhi,951.91,631.21
2,Vel Product,Dairy,"Thaman, Viswanathan and Sandal",585.58,330.55
3,Nostrum Product,Beverages,"Deep, Johal and Yogi",369.98,282.13
4,Corporis Product,Dairy,"Bains, Gara and Sama",791.8,703.48
5,Soluta Product,Dairy,Jha PLC,265.98,192.8
6,Ratione Product,Snacks,"Varma, Sharma and Som",572.79,450.16
7,Consequatur Product,Household,Vora and Sons,371.41,195.87
8,Assumenda Product,Fruits,Ramachandran-Wali,663.5,442.6
9,Tempore Product,Beverages,"Sama, Bhattacharyya and Ahluwalia",255.59,139.69
10,Porro Product,Fruits,"Jha, Kadakia and Dada",207.76,154.81
11,Adipisci Product,Fruits,Suresh-Krishnan,919.87,805.25
12,Dolore Product,Household,Kota Group,119.77,91.59
13,Ipsam Product,Fruits,Zacharia-Rau,515.84,273.77
14,Porro Product,Fruits,Devan Inc,236.44,151.76
15,Quae Product,Dairy,Kalla-Dara,58.15,41.88
16,Nulla Product,Household,Ganguly-Gupta,55.3,36.57
17,Rerum Product,Snacks,"Sankaran, Kashyap and Mahal",191.72,159.79
18,Minima Product,Beverages,D’Alia-Sanghvi,869.43,718.03
19,Perspiciatis Product,Fruits,Jain Inc,296.83,221.06
20,Placeat Product,Beverages,Choudhary Inc,951.45,617.86
21,Eum Product,Snacks,Thakur Group,589.99,355.25
22,Eaque Product,Beverages,Yohannan-Manne,447.88,242.91
23,Commodi Product,Snacks,"Mandal, Sant and Kunda",588.49,377.79
24,Itaque Product,Dairy,Bandi-Swaminathan,526.36,350.17
25,Et Product,Fruits,"Sood, Walla and Devan",763.6,588.22
26,Esse Product,Snacks,"Bhagat, Dey and Sane",296.85,226.57
27,Rerum Product,Beverages,Reddy PLC,365.99,193.26
28,Sit Product,Fruits,Rajagopalan Group,896.21,589.8
29,Quod Product,Dairy,"Gala, Koshy and Saraf",947.53,542.66
30,Voluptatum Product,Fruits,"Zacharia, Dada and Viswanathan",894.71,503.48
31,Asperiores Product,Snacks,"Dhawan, Bera and Tandon",431.06,358.18
32,Suscipit Product,Dairy,Mangat PLC,784.76,405.54
33,Ducimus Product,Beverages,Wagle-Trivedi,486.81,325.03
34,Corporis Product,Dairy,Grover Inc,507.59,287.95
35,Dicta Product,Dairy,"Mane, Sastry and Bhagat",220.59,187.88
36,Impedit Product,Household,"Butala, Swamy and Kamdar",599.31,433.19
37,Id Product,Dairy,Dhaliwal-Baral,202.41,119.94
38,Recusandae Product,Dairy,Sama Ltd,344.93,241.79
39,Ex Product,Fruits,"Sharma, Balay and Kashyap",857.93,679.99
40,Minima Product,Beverages,Sengupta Ltd,222.93,196.9
41,Itaque Product,Fruits,"Ratti, Kapoor and Srivastava",89.74,52.78
42,Aspernatur Product,Fruits,Bava Inc,87.63,74.88
43,Corrupti Product,Snacks,Dada Ltd,941.97,823.02
44,Veniam Product,Fruits,Khanna LLC,516.78,447.83
45,Sit Product,Household,Agarwal Inc,421.22,317.67
46,Amet Product,Household,Rajan-Behl,814.66,612.57
47,Modi Product,Snacks,Ravel LLC,839.11,554.89
48,Blanditiis Product,Beverages,"Das, D’Alia and Arya",345.55,276.77
49,Dolores Product,Beverages,"Rajagopal, Baral and Sha",699.75,498.58
50,Dolorum Product,Fruits,"Mallick, Setty and Warrior",775.7,598.05
51,Doloremque Product,Fruits,Batta-Bandi,661.56,444.16
52,Odio Product,Fruits,"Jani, Dora and Vora",168.56,133.6
53,Quaerat Product,Beverages,Ramanathan-Gole,878.37,728.86
54,Nulla Product,Dairy,Sama PLC,548.31,306.27
55,Odit Product,Household,"Thaker, Shere and Dua",296.82,247.3
56,Occaecati Product,Dairy,Dhingra Inc,436.72,312.74
57,Vero Product,Dairy,Rana-Dave,56.82,47.61
58,Consequatur Product,Beverages,"Chanda, Bakshi and Doshi",145.31,97.72
59,Sunt Product,Dairy,Wali-Sahni,770.24,501.9
60,Mollitia Product,Snacks,"Virk, Kibe and Mandal",20.01,17.33
61,Ea Product,Fruits,"Krishna, Dani and Sunder",428.23,257.14
62,Facere Product,Snacks,Raval-Seth,532.06,445.7
63,Minus Product,Household,Singh Group,73.54,51.01
64,Laboriosam Product,Fruits,Dugal Ltd,973.62,687.02
65,Delectus Product,Dairy,Goyal-Issac,241.6,150.61
66,Cupiditate Product,Household,Loke Ltd,318.11,231.97
67,Laboriosam Product,Fruits,"Khurana, Chawla and Sami",317.86,200.28
68,Voluptates Product,Dairy,Varma and Sons,245.81,126.77
69,A Product,Snacks,"Deshpande, Mahal and Chaudry",21.44,13.05
70,Nesciunt Product,Fruits,Badami-Varughese,734.76,369.25
71,Ex Product,Dairy,Varkey-Arya,967.51,862.38
72,Aut Product,Snacks,Dixit-Zacharia,239.81,212.54
